spcode,x,y
forgla,-67.7703,44.6055
forgla,-68.4063,44.8257
forgla,-68.6872,44.5468
forgla,-68.7489,44.4648
forgla,-67.8545,44.6724
forgla,-67.5334,44.7309
forgla,-67.7894,44.6766
forint,-67.8789,44.6969
forint,-67.9294,44.7713
forint,-67.8994,44.7296
forint,-67.9138,44.7364
forint,-67.7704,44.7479
forint,-67.8381,44.6682
forint,-67.88,44.6691
forint,-67.9732,44.6106
forint,-67.8801,44.7643
forint,-68.4063,44.8257
forint,-68.6872,44.5468
forint,-68.7489,44.4648
forlas,-67.8846,44.7753
forlas,-67.8789,44.6969
forlas,-67.9294,44.7713
forlas,-67.8994,44.7296
forlas,-67.9138,44.7364
forlas,-67.7704,44.7479
forlas,-67.8381,44.6682
forlas,-67.8725,44.6721
forlas,-67.88,44.6691
forlas,-67.9732,44.6106
forlas,-67.8369,44.7644
forlas,-67.8587,44.6768
forlas,-67.7596,44.7501
forlas,-67.7739,44.7885
forlas,-68.4063,44.8257
forlas,-68.6872,44.5468
forlas,-68.7489,44.4648
forlas,-67.5334,44.7309
forneo1,-67.8846,44.7753
forneo1,-67.8789,44.6969
forneo1,-67.9294,44.7713
forneo1,-67.9138,44.7364
forneo1,-67.7704,44.7479
forneo1,-67.8381,44.6682
forneo1,-67.8725,44.6721
forneo1,-67.88,44.6691
forneo1,-67.9732,44.6106
forneo1,-67.8369,44.7644
forneo1,-67.8587,44.6768
forneo1,-67.7739,44.7885
forneo1,-68.4063,44.8257
forneo1,-68.6872,44.5468
forneo1,-68.7489,44.4648
forneo1,-67.5334,44.7309
forneo2,-67.7704,44.7479
forrub,-67.9138,44.7364
forrub,-67.8381,44.6682
forrub,-67.8725,44.6721
forrub,-67.88,44.6691
forrub,-67.8587,44.6768
forrub,-67.5334,44.7309
forsub1,-67.8846,44.7753
forsub1,-67.8789,44.6969
forsub1,-67.9294,44.7713
forsub1,-67.8381,44.6682
forsub1,-67.88,44.6691
forsub1,-67.9732,44.6106
forsub1,-67.5334,44.7309
forsub2,-67.9294,44.7713
forsub2,-67.7704,44.7479
forsub2,-67.88,44.6691
forsub3,-67.8846,44.7753
forsub3,-67.8789,44.6969
forsub3,-67.9294,44.7713
forsub3,-67.8994,44.7296
forsub3,-67.9138,44.7364
forsub3,-67.7704,44.7479
forsub3,-67.8381,44.6682
forsub3,-67.8725,44.6721
forsub3,-67.88,44.6691
forsub3,-67.9732,44.6106
forsub3,-67.8369,44.7644
forsub3,-67.7739,44.7885
forsub3,-67.7703,44.6055
forsub3,-68.4063,44.8257
forsub3,-68.6872,44.5468
forsub3,-67.8533,44.6741
forsub3,-67.5334,44.7309
forsub3,-67.7894,44.6766
forulk,-67.8846,44.7753
forulk,-67.8369,44.7644
forulk,-67.7703,44.6055
forulk,-68.6872,44.5468
forulk,-67.5334,44.7309
lasali,-67.8846,44.7753
lasali,-67.9294,44.7713
lasali,-67.7704,44.7479
lasali,-67.8381,44.6682
lasali,-67.8725,44.6721
lasali,-67.88,44.6691
lasali,-68.4063,44.8257
lasali,-68.7489,44.4648
lasali,-67.5334,44.7309
lasali,-67.7894,44.6766
lasfla,-67.8725,44.6721
lasfla,-67.88,44.6691
lasfla,-68.4063,44.8257
lasfla,-67.8533,44.6741
lasfla,-67.8545,44.6724
lasfla,-67.853,44.6705
lasfla,-67.5334,44.7309
lasneo,-67.8846,44.7753
lasneo,-67.8789,44.6969
lasneo,-67.9294,44.7713
lasneo,-67.9138,44.7364
lasneo,-67.7704,44.7479
lasneo,-67.8381,44.6682
lasneo,-67.8725,44.6721
lasneo,-67.88,44.6691
lasneo,-67.9732,44.6106
lasneo,-67.7596,44.7501
lasneo,-67.7739,44.7885
lasneo,-68.4063,44.8257
lasneo,-68.7489,44.4648
lasneo,-67.5334,44.7309
laspal,-67.9294,44.7713
laspal,-67.8725,44.6721
laspal,-67.88,44.6691
laspal,-68.4063,44.8257
laspal,-67.5334,44.7309
laspal,-67.7894,44.6766
lepcan,-67.88,44.6691
myrala,-67.9294,44.7713
myrame1,-67.8725,44.6721
myrame1,-67.9732,44.6106
myrame1,-68.4063,44.8257
myrame1,-68.6872,44.5468
myrame1,-68.7489,44.4648
myrame1,-67.7894,44.6766
myrame2,-67.8846,44.7753
myrame2,-67.8789,44.6969
myrame2,-67.9294,44.7713
myrame2,-67.8994,44.7296
myrame2,-67.9138,44.7364
myrame2,-67.7704,44.7479
myrame2,-67.8381,44.6682
myrame2,-67.8725,44.6721
myrame2,-67.88,44.6691
myrame2,-67.8369,44.7644
myrame2,-67.8587,44.6768
myrame2,-67.7596,44.7501
myrame2,-67.7739,44.7885
myrame2,-67.7703,44.6055
myrame2,-68.4063,44.8257
myrame2,-68.6872,44.5468
myrame2,-67.8533,44.6741
myrame2,-67.8545,44.6724
myrame2,-67.853,44.6705
myrame2,-67.5334,44.7309
myrdet,-67.8846,44.7753
myrdet,-67.8789,44.6969
myrdet,-67.9294,44.7713
myrdet,-67.8994,44.7296
myrdet,-67.9138,44.7364
myrdet,-67.7704,44.7479
myrdet,-67.8381,44.6682
myrdet,-67.8725,44.6721
myrdet,-67.88,44.6691
myrdet,-67.9732,44.6106
myrdet,-67.8369,44.7644
myrdet,-68.4063,44.8257
myrdet,-67.8533,44.6741
myrdet,-67.5334,44.7309
myrdet,-67.7894,44.6766
myrfra,-67.8846,44.7753
myrfra,-67.8789,44.6969
myrfra,-67.9294,44.7713
myrfra,-67.8994,44.7296
myrfra,-67.9138,44.7364
myrfra,-67.7704,44.7479
myrfra,-67.8381,44.6682
myrfra,-67.8725,44.6721
myrfra,-67.88,44.6691
myrfra,-67.9732,44.6106
myrfra,-67.8369,44.7644
myrfra,-67.8587,44.6768
myrfra,-67.8801,44.7643
myrfra,-67.7596,44.7501
myrfra,-67.7703,44.6055
myrfra,-68.4063,44.8257
myrfra,-68.6872,44.5468
myrfra,-68.7489,44.4648
myrfra,-67.8545,44.6724
myrfra,-67.853,44.6705
myrfra,-67.5334,44.7309
myrfra,-67.7894,44.6766
myrinc,-67.8994,44.7296
myrinc,-67.8725,44.6721
myrine,-68.6872,44.5468
myrscu,-67.8846,44.7753
myrscu,-67.8789,44.6969
myrscu,-67.9294,44.7713
myrscu,-67.8994,44.7296
myrscu,-67.9138,44.7364
myrscu,-67.7704,44.7479
myrscu,-67.8381,44.6682
myrscu,-67.8725,44.6721
myrscu,-67.88,44.6691
myrscu,-67.9732,44.6106
myrscu,-67.8369,44.7644
myrscu,-67.8587,44.6768
myrscu,-67.7739,44.7885
myrscu,-67.7703,44.6055
myrscu,-68.4063,44.8257
myrscu,-68.6872,44.5468
myrscu,-68.7489,44.4648
myrscu,-67.8533,44.6741
myrscu,-67.8545,44.6724
myrscu,-67.853,44.6705
myrscu,-67.5334,44.7309
ponpen,-68.4063,44.8257
ponpen,-68.6872,44.5468
ponpen,-68.7489,44.4648
ponpen,-67.5334,44.7309
stebre,-67.7894,44.6766
