SURVEYID,Elev,Mesic
221,1.65199995,0
222,1.562999964,0
223,1.593000054,0
224,1.575999975,0
225,2.030999899,0
226,2.058000088,0
227,2.072999954,0
228,2.105999947,0
229,2.177000046,0
230,2.204999924,0
231,2.217000008,0
232,2.236999989,0
233,2.266000032,0
234,0.878000021,1
235,0.910000026,1
236,0.897000015,1
237,0.925999999,1
238,0.967000008,1
239,1,1
240,1.057999969,1
241,1.097000003,1
242,1.18900001,1
243,1.472000003,0
244,1.549000025,0
245,1.572000027,0
246,1.677000046,0
247,1.498000026,0
248,1.549999952,0
249,1.613000035,0
250,1.56099999,0
251,1.036000013,1
252,1.047999978,1
253,1.074000001,1
254,1.098999977,1
255,0.818000019,1
256,0.818000019,1
257,0.792999983,1
258,1.463000059,1
259,1.44599998,1
260,1.440000057,1
261,1.440000057,1
262,1.480000019,1
263,1.475999951,1
264,1.504999995,1
265,1.41900003,0
266,1.467000008,0
267,1.478999972,1
268,1.251000047,0
269,1.261999965,0
270,1.274999976,0
271,1.351999998,0
272,1.18599999,1
273,1.225999951,1
274,1.286999941,1
275,1.248999953,1
276,0.805999994,1
277,0.809000015,1
278,0.833000004,1
279,0.875999987,1
280,1.597000003,0
281,1.585000038,0
282,1.508000016,0
283,1.534000039,0
284,0.973999977,1
285,1.036999941,1
286,1.14199996,1
287,1.182000041,1
288,1.48300004,0
289,1.450999975,0
290,1.468999982,0
291,1.526000023,0
292,1.52699995,0
293,1.468999982,0
294,1.40199995,0
295,1.409000039,0
296,1.452000022,0
297,1.483999968,0
298,1.404000044,0
299,1.406999946,0
300,1.45599997,0
301,1.425999999,0
302,1.396000028,1
303,1.402999997,0
304,1.44599998,0
305,1.42900002,0
306,1.149999976,0
307,1.174000025,1
308,1.184999943,1
309,1.197000027,1
310,0.936999977,1
311,0.878000021,1
312,0.873000026,1
313,0.896000028,1
314,0.893000007,1
315,0.907999992,1
316,0.915000021,1
317,0.935000002,1
318,1.743999958,0
319,1.764999986,0
320,1.715999961,0
321,1.286999941,0
322,1.26699996,0
323,1.256000042,0
324,1.261000037,1
325,0.884000003,1
326,0.842999995,1
327,0.882000029,1
328,1.172000051,1
329,1.166000009,0
330,1.18599999,1
331,1.154000044,1
332,1.177000046,0
333,1.180999994,0
334,1.220999956,0
335,1.203999996,0
336,1.203999996,0
337,1.208999991,0
338,1.258000016,1
339,1.254999995,1
340,1.274999976,1
341,1.212000012,1
342,0.862999976,0
343,0.85799998,0
344,0.871999979,1
345,0.870000005,1
346,0.647000015,1
347,0.675999999,1
348,0.754000008,1
349,0.703000009,1
350,0.787999988,1
351,0.824000001,1
352,0.847000003,1
353,0.648999989,1
354,0.703999996,1
355,0.763999999,1
356,0.824999988,1
357,0.819000006,1
358,0.92900002,1
359,0.927999973,1
360,1.003999949,1
361,1.06099999,0
362,1.082000017,0
363,1.136000037,1
364,1.118000031,1
365,1.148000002,0
366,1.230000019,0
367,1.248000026,1
368,1.284999967,1
369,1.292999983,1
370,1.371999979,0
371,1.108999968,0
372,1.065999985,0
373,1.101999998,0
374,1.118000031,0
375,1.080000043,0
376,1.08099997,0
377,1.128999949,0
378,1.10800004,0
379,1.57099998,0
380,1.590999961,0
381,1.577000022,0
382,1.582999945,0
383,0.822000027,1
384,0.838999987,0
385,0.850000024,1
386,0.851000011,1
387,1.202999949,1
388,1.225000024,1
389,1.248000026,1
390,1.243000031,1
391,1.286999941,0
392,1.407999992,0
393,1.457000017,0
394,1.552999973,0
395,1.11500001,1
396,1.125,1
397,1.103000045,1
398,1.118999958,1
399,1.006999969,1
400,0.984000027,1
401,1.027999997,1
402,1.039000034,1
403,0.967000008,1
404,1.037999988,1
405,1.052999973,1
406,1.083999991,1
407,1.623999953,0
408,1.636000037,1
409,1.633000016,0
410,1.702000022,0
411,1.699000001,0
412,1.70599997,0
413,1.671000004,0
414,1.777999997,0
415,1.291000009,1
416,1.325999975,1
417,1.355000019,1
418,1.366999984,1
419,1.177999973,1
420,1.187999964,1
421,1.235999942,1
422,1.300999999,1
423,0.925000012,0
424,0.987999976,1
425,0.99000001,1
426,0.986000001,1
427,1.429999948,0
428,1.437999964,0
429,1.468000054,0
430,1.498000026,0
431,1.590000033,0
432,1.600000024,0
433,1.542999983,0
434,1.475000024,0
435,1.029999971,1
436,0.991999984,1
437,1.042000055,1
438,1.016000032,1
439,1.432999969,0
440,1.417999983,0
441,1.44599998,0
442,1.414000034,0
443,1.256000042,0
444,1.190000057,1
445,1.269999981,1
446,1.248000026,1
447,1.386000037,1
448,1.40199995,1
449,1.414000034,1
450,1.43900001,1
451,1.014000058,1
452,1.10800004,1
