x,y,species cloglog values
336.0,336.0,0.8108907
337.0,337.0,0.48417962
338.0,338.0,0.2990938
339.0,339.0,0.03671816
340.0,340.0,4.0057454E-5
341.0,341.0,3.5217524E-4
342.0,342.0,0.18730408
343.0,343.0,7.824627E-6
344.0,344.0,0.7478823
345.0,345.0,0.016184775
346.0,346.0,1.5741508E-4
347.0,347.0,0.009914426
348.0,348.0,0.49313506
349.0,349.0,0.0046238783
350.0,350.0,4.938114E-4
351.0,351.0,0.25568163
352.0,352.0,0.48817298
353.0,353.0,0.33969966
354.0,354.0,0.5722334
355.0,355.0,0.5973024
356.0,356.0,0.17216134
357.0,357.0,0.020473093
358.0,358.0,0.0138861835
359.0,359.0,0.03608469
360.0,360.0,0.05757392
361.0,361.0,0.15378906
362.0,362.0,0.363088
363.0,363.0,5.6708054E-6
364.0,364.0,0.01971696
365.0,365.0,0.0053023286
366.0,366.0,5.9505495E-5
367.0,367.0,6.3464984E-7
368.0,368.0,0.0018416402
369.0,369.0,0.0023388003
370.0,370.0,0.0082956115
371.0,371.0,0.10402844
372.0,372.0,7.301458E-5
373.0,373.0,0.321033
374.0,374.0,0.31064054
375.0,375.0,0.0016037637
376.0,376.0,3.658061E-5
377.0,377.0,2.3139981E-4
378.0,378.0,2.3386479E-4
379.0,379.0,0.26944917
380.0,380.0,2.37437E-4
381.0,381.0,0.2930326
382.0,382.0,0.46535674
383.0,383.0,0.54148865
384.0,384.0,3.5313547E-5
385.0,385.0,7.384138E-7
386.0,386.0,0.61623776
387.0,387.0,9.981575E-5
388.0,388.0,1.2327884E-5
389.0,389.0,0.7935927
390.0,390.0,8.409237E-5
391.0,391.0,0.012138731
392.0,392.0,8.9877554E-5
393.0,393.0,0.14862764
394.0,394.0,3.7116104E-5
395.0,395.0,0.25566983
396.0,396.0,0.068518
397.0,397.0,0.10365043
398.0,398.0,4.6970075E-4
399.0,399.0,0.32898155
400.0,400.0,0.6406707
401.0,401.0,1.9635672E-5
402.0,402.0,0.5365995
403.0,403.0,0.10802989
404.0,404.0,0.07992584
405.0,405.0,0.28425753
406.0,406.0,6.3194166E-4
407.0,407.0,0.23250256
408.0,408.0,0.0027739143
409.0,409.0,0.24369052
410.0,410.0,5.5100365E-5
411.0,411.0,1.5261039E-4
412.0,412.0,7.3491833E-7
413.0,413.0,0.010394823
414.0,414.0,0.28793487
415.0,415.0,7.334648E-7
416.0,416.0,0.03184821
417.0,417.0,1.2795434E-4
418.0,418.0,0.2920948
419.0,419.0,6.014258E-4
420.0,420.0,0.0027353712
421.0,421.0,0.0779028
422.0,422.0,5.8462312E-5
423.0,423.0,0.06691231
424.0,424.0,0.5879721
425.0,425.0,4.987734E-7
426.0,426.0,2.9058332E-5
427.0,427.0,2.322817E-4
428.0,428.0,0.012798827
429.0,429.0,3.4759252E-4
430.0,430.0,0.0011180105
431.0,431.0,0.039004203
432.0,432.0,3.683128E-4
433.0,433.0,2.9224708E-5
434.0,434.0,3.5567376E-5
435.0,435.0,0.14886914
436.0,436.0,4.77073E-5
437.0,437.0,6.1825576E-4
438.0,438.0,0.024557598
439.0,439.0,0.24004708
440.0,440.0,0.0018236907
441.0,441.0,0.043216627
442.0,442.0,0.020473458
443.0,443.0,8.932005E-4
444.0,444.0,0.24913688
445.0,445.0,0.6191794
446.0,446.0,1.0056378E-5
447.0,447.0,0.14161545
448.0,448.0,0.05918196
449.0,449.0,9.24381E-5
450.0,450.0,3.0870794E-4
451.0,451.0,0.0034112905
452.0,452.0,2.0448513E-6
