x,y,species median
436.0,436.0,9.570309E-4
437.0,437.0,0.013550006
438.0,438.0,4.2250226E-6
439.0,439.0,0.38410127
440.0,440.0,2.1968766E-5
441.0,441.0,0.30004162
442.0,442.0,0.10927903
443.0,443.0,0.78154194
444.0,444.0,0.7579022
445.0,445.0,0.007757471
446.0,446.0,0.3339197
447.0,447.0,3.3860658E-7
448.0,448.0,0.7541267
449.0,449.0,0.04214833
450.0,450.0,0.51893747
451.0,451.0,0.610803
452.0,452.0,2.6355478E-6
453.0,453.0,3.1277784E-7
454.0,454.0,6.926726E-5
455.0,455.0,0.4472522
456.0,456.0,2.3065999E-8
457.0,457.0,8.2167296E-4
458.0,458.0,0.40254354
459.0,459.0,0.017811026
460.0,460.0,0.9045417
461.0,461.0,2.7951752E-5
462.0,462.0,0.15561074
463.0,463.0,2.4625688E-6
464.0,464.0,8.104576E-4
465.0,465.0,0.12296752
466.0,466.0,2.2422828E-6
467.0,467.0,0.4116562
468.0,468.0,0.0681059
469.0,469.0,6.3681714E-6
470.0,470.0,0.027369987
471.0,471.0,1.0117438E-6
472.0,472.0,1.0040908E-6
473.0,473.0,2.6574998E-8
474.0,474.0,0.33211362
475.0,475.0,0.5035067
476.0,476.0,0.0030636324
477.0,477.0,8.109197E-6
478.0,478.0,0.51190484
479.0,479.0,0.003263583
480.0,480.0,0.0020575896
481.0,481.0,2.3893942E-6
482.0,482.0,4.6673007E-4
483.0,483.0,0.60966647
484.0,484.0,4.1430906E-4
485.0,485.0,4.5030163E-5
486.0,486.0,1.0375461E-4
487.0,487.0,4.042367E-4
488.0,488.0,0.5045934
489.0,489.0,0.011396048
490.0,490.0,0.0030423212
491.0,491.0,5.8808265E-4
492.0,492.0,6.26093E-6
493.0,493.0,0.079086356
494.0,494.0,7.400815E-5
495.0,495.0,0.003227499
496.0,496.0,0.0018539113
497.0,497.0,4.45266E-5
498.0,498.0,0.8127392
499.0,499.0,0.05300933
500.0,500.0,1.7888491E-5
501.0,501.0,0.07993744
502.0,502.0,0.021586321
503.0,503.0,3.1585782E-4
504.0,504.0,0.09949022
505.0,505.0,0.14941907
506.0,506.0,4.7855393E-4
507.0,507.0,0.32550544
508.0,508.0,0.08575022
509.0,509.0,9.561399E-6
510.0,510.0,1.7150724E-4
511.0,511.0,0.5323716
512.0,512.0,0.06737605
513.0,513.0,1.9745383E-4
514.0,514.0,0.010298804
515.0,515.0,3.1073228E-6
516.0,516.0,4.982411E-4
517.0,517.0,0.101949275
518.0,518.0,0.014067328
519.0,519.0,0.2095412
520.0,520.0,0.0071118376
521.0,521.0,0.13926478
522.0,522.0,6.4539217E-6
523.0,523.0,0.16985011
524.0,524.0,2.5669624E-6
525.0,525.0,0.10448478
526.0,526.0,0.3746078
527.0,527.0,0.29699782
528.0,528.0,4.4198788E-4
529.0,529.0,1.01604606E-7
530.0,530.0,4.2913427E-5
531.0,531.0,9.1457173E-7
532.0,532.0,0.47173193
533.0,533.0,3.5404053E-4
534.0,534.0,1.1583852E-6
535.0,535.0,0.32604948
536.0,536.0,0.005998193
537.0,537.0,0.7616526
