x,y,species avg
126.0,126.0,7.5448037E-4
127.0,127.0,1.4464512E-5
128.0,128.0,0.6124317
129.0,129.0,0.0020464924
130.0,130.0,1.1938442E-4
131.0,131.0,0.47653493
132.0,132.0,4.4278626E-4
133.0,133.0,0.5772427
134.0,134.0,0.39470336
135.0,135.0,0.9537704
136.0,136.0,0.004853665
137.0,137.0,4.1437288E-5
138.0,138.0,5.15935E-6
139.0,139.0,0.13272241
140.0,140.0,0.52563524
141.0,141.0,3.5410918E-5
142.0,142.0,3.4558587E-7
143.0,143.0,1.7905271E-5
144.0,144.0,1.4590793E-5
145.0,145.0,3.8336268E-5
146.0,146.0,0.1564219
147.0,147.0,8.33728E-6
148.0,148.0,4.4819343E-4
149.0,149.0,1.0182125E-5
150.0,150.0,5.9384806E-4
151.0,151.0,4.1222956E-6
152.0,152.0,7.469186E-5
153.0,153.0,1.2741899E-5
154.0,154.0,5.599235E-4
155.0,155.0,0.55667496
156.0,156.0,0.17394364
157.0,157.0,0.33916903
158.0,158.0,0.75153494
159.0,159.0,0.13238108
160.0,160.0,0.0021563217
161.0,161.0,0.3532759
162.0,162.0,0.97754973
163.0,163.0,0.66673607
164.0,164.0,3.2086787E-4
165.0,165.0,0.28900886
166.0,166.0,9.7345526E-4
167.0,167.0,0.23005138
168.0,168.0,0.4847477
169.0,169.0,2.3459559E-5
170.0,170.0,7.9971855E-5
171.0,171.0,0.03093617
172.0,172.0,0.06670272
173.0,173.0,0.85527766
174.0,174.0,0.0048171165
175.0,175.0,0.012031446
176.0,176.0,0.28191584
177.0,177.0,0.0014071416
178.0,178.0,0.020361748
179.0,179.0,4.451961E-7
180.0,180.0,0.6774728
181.0,181.0,0.6329196
182.0,182.0,0.5776112
183.0,183.0,0.0042141723
184.0,184.0,5.8230096E-5
185.0,185.0,0.017595885
186.0,186.0,0.1287477
187.0,187.0,0.0075482656
188.0,188.0,1.8802955E-4
189.0,189.0,0.15174547
190.0,190.0,6.729672E-4
191.0,191.0,0.16601129
192.0,192.0,7.073957E-4
193.0,193.0,0.51917964
194.0,194.0,0.01148462
195.0,195.0,0.5706162
196.0,196.0,0.096138924
197.0,197.0,5.3234E-4
198.0,198.0,1.04975494E-4
199.0,199.0,0.015617765
200.0,200.0,0.37392074
201.0,201.0,0.05944983
202.0,202.0,5.771265E-4
203.0,203.0,0.44283974
204.0,204.0,7.4521384E-5
205.0,205.0,6.6490105E-4
206.0,206.0,7.4812415E-6
207.0,207.0,3.6975161E-6
208.0,208.0,7.6282386E-6
209.0,209.0,0.02803765
210.0,210.0,0.03124845
211.0,211.0,0.5159609
212.0,212.0,0.62232995
213.0,213.0,6.1172055E-4
214.0,214.0,0.10283696
215.0,215.0,0.92764884
216.0,216.0,3.8515495E-7
217.0,217.0,0.49386075
218.0,218.0,0.13308945
219.0,219.0,0.55325913
220.0,220.0,0.06333138
221.0,221.0,0.049746614
222.0,222.0,2.2927753E-7
223.0,223.0,0.41609994
224.0,224.0,1.630448E-6
225.0,225.0,0.005162971
226.0,226.0,0.057765834
227.0,227.0,0.04241499
228.0,228.0,0.7272662
229.0,229.0,3.2847292E-5
230.0,230.0,0.5421282
231.0,231.0,0.04059037
232.0,232.0,0.119651236
233.0,233.0,2.0348132E-5
234.0,234.0,0.19602354
235.0,235.0,0.06779505
236.0,236.0,0.5209653
237.0,237.0,0.038331937
238.0,238.0,0.21614261
239.0,239.0,0.02340902
240.0,240.0,0.35732043
241.0,241.0,5.334229E-6
242.0,242.0,0.41591716
243.0,243.0,0.6370784
244.0,244.0,0.3602748
245.0,245.0,0.68798
246.0,246.0,1.9719303E-4
247.0,247.0,0.5658227
248.0,248.0,3.5360029E-6
249.0,249.0,0.0014966996
250.0,250.0,0.029754482
251.0,251.0,0.33864388
252.0,252.0,0.009200862
253.0,253.0,5.593388E-4
254.0,254.0,0.6417593
255.0,255.0,1.4404895E-5
