Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.14275E-4,8.010514848,0.200491764,0.227114479,0.048192771,0
1.16302E-4,8.252068133,0.203657639,0.224964161,0.060240964,0
1.20458E-4,8.511535116,0.210112111,0.222711448,0.060240964,0
1.22659E-4,8.754504603,0.213508553,0.220663527,0.060240964,0
1.25598E-4,9.003192842,0.21802157,0.218615605,0.060240964,0
1.29514E-4,9.258251952,0.22399525,0.216567684,0.060240964,0
1.31998E-4,9.507012358,0.227759964,0.214622159,0.072289157,0
1.34208E-4,9.759550881,0.231094158,0.212676633,0.072289157,0
1.37203E-4,10.003897217,0.235591061,0.210833504,0.084337349,0
1.39108E-4,10.252425935,0.238437012,0.208990375,0.084337349,0
1.40908E-4,10.50463037,0.241115659,0.207147246,0.084337349,0
1.42886E-4,10.760029944,0.244050168,0.205304116,0.096385542,0
1.45216E-4,11.004944297,0.247491444,0.203563383,0.096385542,0
1.47843E-4,11.254717565,0.251352155,0.20182265,0.096385542,0
1.50421E-4,11.50829246,0.255120755,0.200081917,0.096385542,0
1.5271E-4,11.750801568,0.258452203,0.19844358,0.108433735,0
1.54355E-4,12.011954912,0.260836444,0.196702847,0.108433735,0
1.56177E-4,12.260652174,0.263469925,0.19506451,0.108433735,0
1.58858E-4,12.512269088,0.267325455,0.193426172,0.108433735,0
1.60244E-4,12.751590054,0.269311301,0.191890231,0.108433735,0
1.62427E-4,13.009964632,0.27242785,0.190251894,0.108433735,0
1.64266E-4,13.254876434,0.275042934,0.188715953,0.108433735,0
1.66251E-4,13.502769258,0.277855038,0.187180012,0.108433735,0
1.68135E-4,13.753483988,0.2805146,0.185644071,0.108433735,0
1.69842E-4,14.00724323,0.282915483,0.18410813,0.120481928,0
1.71946E-4,14.263891077,0.285863467,0.182572189,0.120481928,0
1.73806E-4,14.506358518,0.288459779,0.181138644,0.13253012,0
1.75613E-4,14.751010227,0.290972372,0.179705099,0.13253012,0
1.77183E-4,15.01596336,0.293149434,0.178169158,0.13253012,0
1.79229E-4,15.265595389,0.295975424,0.176735613,0.13253012,0
1.81197E-4,15.500193491,0.298682793,0.175404464,0.13253012,0
1.83433E-4,15.755361886,0.301746189,0.17397092,0.13253012,0
1.84768E-4,16.013143109,0.303569386,0.172537375,0.13253012,0
1.86164E-4,16.254377152,0.305470445,0.171206226,0.13253012,0
1.87791E-4,16.51620282,0.307679354,0.169772681,0.13253012,0
1.89225E-4,16.76154088,0.309621301,0.168441532,0.13253012,0
1.91052E-4,17.008456828,0.31208641,0.167110383,0.144578313,0
1.9264E-4,17.257716464,0.314221471,0.165779234,0.144578313,0
1.95356E-4,17.509788267,0.317858736,0.164448085,0.144578313,0
1.97263E-4,17.765030443,0.32040169,0.163116936,0.144578313,0
1.99717E-4,18.003236083,0.323658685,0.161888183,0.144578313,0
2.01922E-4,18.264388295,0.326572554,0.160557035,0.144578313,0
2.02881E-4,18.507321132,0.327836429,0.159328282,0.156626506,0
2.04313E-4,18.75152383,0.329718434,0.158099529,0.156626506,0
2.06465E-4,19.018826923,0.332537506,0.15676838,0.156626506,0
2.08976E-4,19.26829125,0.335810653,0.155539627,0.156626506,0
2.09913E-4,19.519639372,0.337028263,0.154310874,0.156626506,0
2.11872E-4,19.752140541,0.3395661,0.153184518,0.156626506,0
2.14945E-4,20.008346612,0.343528642,0.151955765,0.156626506,0
2.16238E-4,20.266980149,0.345187826,0.150727012,0.156626506,0
2.18751E-4,20.506527935,0.34840216,0.149600655,0.156626506,0
2.20744E-4,20.769832224,0.350940854,0.148371903,0.156626506,0
2.21938E-4,21.013286042,0.352456367,0.147245546,0.156626506,0
2.23074E-4,21.258007602,0.353894129,0.146119189,0.156626506,0
2.24805E-4,21.504447085,0.356081232,0.144992832,0.156626506,0
2.25692E-4,21.752292982,0.357198701,0.143866476,0.156626506,0
2.27967E-4,22.001528019,0.360055181,0.142740119,0.156626506,0
2.30217E-4,22.25328692,0.362868048,0.141613762,0.156626506,0
