X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
74.0,74.0,train,3.0112824968715166E-4,34.02129121904785,0.4454664349452129
75.0,75.0,train,2.499487821934233E-4,25.191901950493406,0.38701532563731267
76.0,76.0,train,2.7167357225326815E-4,28.98571222339819,0.41254394851722664
77.0,77.0,train,1.694142774543218E-4,13.943658842784062,0.28231444277059303
78.0,78.0,train,2.987636669171453E-4,33.59002366394106,0.44289299110409175
79.0,79.0,train,5.914106902285459E-4,58.39303874009584,0.6858922224464794
80.0,80.0,train,2.8223188496922483E-4,30.757775267205933,0.4245642379943829
81.0,81.0,train,0.0021368434553376554,88.2064087500085,0.9847636780339664
82.0,82.0,train,0.0013796021114285623,81.39671356881105,0.9328849654531747
83.0,83.0,train,0.004902549474957517,93.72693405290464,0.9999322372835998
