x,y,species_4 cloglog values
319.0,319.0,0.026096443
320.0,320.0,2.0130824E-6
321.0,321.0,0.28149328
322.0,322.0,0.00132198
323.0,323.0,0.18553492
324.0,324.0,2.1972141E-6
325.0,325.0,1.2943535E-5
326.0,326.0,0.033561435
327.0,327.0,0.002154839
328.0,328.0,0.052688837
329.0,329.0,0.43006134
330.0,330.0,0.12740047
331.0,331.0,0.43928784
332.0,332.0,0.016906064
333.0,333.0,4.308616E-7
334.0,334.0,1.7223994E-7
335.0,335.0,0.04703594
336.0,336.0,3.419236E-6
337.0,337.0,9.890664E-4
338.0,338.0,0.9681145
339.0,339.0,0.0020814228
340.0,340.0,0.02886815
341.0,341.0,0.8374748
342.0,342.0,0.0930621
343.0,343.0,0.30924746
344.0,344.0,1.7392193E-6
345.0,345.0,0.06326813
346.0,346.0,0.7645438
347.0,347.0,0.07518365
348.0,348.0,0.006655451
349.0,349.0,7.4618465E-6
350.0,350.0,0.31020972
351.0,351.0,0.002970818
352.0,352.0,1.3257045E-7
353.0,353.0,8.056223E-4
354.0,354.0,1.19257835E-4
355.0,355.0,0.35357162
356.0,356.0,0.2898618
357.0,357.0,0.063611664
358.0,358.0,0.40770105
359.0,359.0,6.84602E-8
360.0,360.0,5.814142E-9
361.0,361.0,0.05571021
362.0,362.0,1.0039887E-4
363.0,363.0,0.0011242443
364.0,364.0,4.4494765E-5
365.0,365.0,0.020809148
366.0,366.0,0.5904372
367.0,367.0,2.1051335E-6
368.0,368.0,2.5317022E-6
369.0,369.0,0.54545766
370.0,370.0,0.63303906
371.0,371.0,0.065613344
372.0,372.0,0.439973
373.0,373.0,0.12509203
374.0,374.0,0.0035278436
375.0,375.0,0.20074801
376.0,376.0,1.1439214E-4
377.0,377.0,5.700238E-4
378.0,378.0,6.0281645E-6
379.0,379.0,0.064490005
380.0,380.0,0.06184778
381.0,381.0,0.0043443698
382.0,382.0,6.179922E-5
383.0,383.0,0.49497095
384.0,384.0,0.058052324
385.0,385.0,0.5608062
386.0,386.0,0.11688746
387.0,387.0,0.5989769
388.0,388.0,0.00842961
389.0,389.0,7.2307594E-6
390.0,390.0,0.039988756
391.0,391.0,0.62021524
392.0,392.0,1.3614377E-6
393.0,393.0,0.42032883
394.0,394.0,2.5941561E-5
395.0,395.0,1.3201799E-5
396.0,396.0,0.031914
397.0,397.0,0.41746128
398.0,398.0,0.46502155
399.0,399.0,0.3850114
400.0,400.0,3.0949587E-7
401.0,401.0,0.15730233
402.0,402.0,2.4508912E-5
403.0,403.0,9.052333E-5
404.0,404.0,0.056592066
405.0,405.0,0.0030836894
406.0,406.0,0.58897924
407.0,407.0,0.66335696
408.0,408.0,8.803456E-8
409.0,409.0,2.1897997E-4
410.0,410.0,4.3502837E-4
411.0,411.0,0.21392378
412.0,412.0,0.047013547
