x,y,species min
252.0,252.0,0.002842974
253.0,253.0,2.3919178E-4
254.0,254.0,0.5825683
255.0,255.0,4.523086E-6
256.0,256.0,0.010423395
257.0,257.0,0.52342725
258.0,258.0,2.8936418E-8
259.0,259.0,5.3426597E-6
260.0,260.0,0.249132
261.0,261.0,3.4768373E-4
262.0,262.0,0.28307435
263.0,263.0,0.033781335
264.0,264.0,0.012669247
265.0,265.0,0.12876569
266.0,266.0,7.60368E-5
267.0,267.0,4.815949E-5
268.0,268.0,0.029608518
269.0,269.0,0.10222992
270.0,270.0,7.087215E-6
271.0,271.0,0.68462926
272.0,272.0,0.5414615
273.0,273.0,1.4140493E-6
274.0,274.0,0.30701393
275.0,275.0,0.29896867
276.0,276.0,0.0019565597
277.0,277.0,0.27815804
278.0,278.0,0.099226
279.0,279.0,0.5505871
280.0,280.0,0.0037159768
281.0,281.0,0.70774734
282.0,282.0,7.370025E-4
283.0,283.0,0.5295595
284.0,284.0,7.144737E-4
285.0,285.0,2.1484657E-5
286.0,286.0,0.561112
287.0,287.0,7.058409E-5
288.0,288.0,4.948154E-6
289.0,289.0,0.8013519
290.0,290.0,3.9006684E-7
291.0,291.0,3.4258782E-4
292.0,292.0,0.5104012
293.0,293.0,5.4392235E-6
294.0,294.0,0.014332024
295.0,295.0,2.3672337E-5
296.0,296.0,0.015229316
297.0,297.0,3.1544E-4
298.0,298.0,1.1482184E-6
299.0,299.0,0.010282249
300.0,300.0,1.3137764E-6
301.0,301.0,0.43478492
302.0,302.0,3.3250203E-6
303.0,303.0,0.06925697
304.0,304.0,2.4398807E-8
305.0,305.0,4.3063168E-4
306.0,306.0,0.26185992
307.0,307.0,0.022348095
308.0,308.0,0.5087591
309.0,309.0,0.24221984
310.0,310.0,0.029996058
311.0,311.0,0.0013776842
312.0,312.0,3.8557453E-5
313.0,313.0,0.11314326
314.0,314.0,0.42491242
315.0,315.0,0.5666783
316.0,316.0,1.6065613E-5
317.0,317.0,3.974502E-5
318.0,318.0,4.985003E-5
319.0,319.0,0.005505719
320.0,320.0,2.0130824E-6
321.0,321.0,0.115952775
322.0,322.0,3.1634208E-4
323.0,323.0,0.075695075
324.0,324.0,1.2295884E-6
325.0,325.0,8.2577145E-7
326.0,326.0,0.01537225
327.0,327.0,5.815743E-4
328.0,328.0,0.021836651
329.0,329.0,0.3835978
330.0,330.0,0.032736104
331.0,331.0,0.30095208
332.0,332.0,0.013853094
333.0,333.0,1.1361666E-8
334.0,334.0,1.7223994E-7
335.0,335.0,0.018337177
336.0,336.0,3.419236E-6
337.0,337.0,9.235147E-4
338.0,338.0,0.8030584
339.0,339.0,7.1492966E-4
340.0,340.0,0.014706604
341.0,341.0,0.62066805
342.0,342.0,0.03570471
343.0,343.0,0.23028024
344.0,344.0,1.7392193E-6
345.0,345.0,0.020628517
346.0,346.0,0.7001454
347.0,347.0,0.032218456
348.0,348.0,0.001029696
349.0,349.0,6.9552943E-6
350.0,350.0,0.31020972
351.0,351.0,9.531922E-4
352.0,352.0,6.680673E-8
353.0,353.0,7.208249E-4
354.0,354.0,1.19257835E-4
355.0,355.0,0.29435405
356.0,356.0,0.22612527
357.0,357.0,0.027929824
358.0,358.0,0.316458
359.0,359.0,1.5234596E-8
360.0,360.0,5.814142E-9
361.0,361.0,0.05571021
362.0,362.0,1.0039887E-4
363.0,363.0,5.033207E-4
364.0,364.0,1.789245E-5
365.0,365.0,0.016120538
366.0,366.0,0.50808424
367.0,367.0,1.8428589E-6
368.0,368.0,1.2859293E-6
369.0,369.0,0.37170652
370.0,370.0,0.41427094
371.0,371.0,0.034535304
372.0,372.0,0.40315083
373.0,373.0,0.08715676
374.0,374.0,6.04031E-4
375.0,375.0,0.049395785
376.0,376.0,6.69011E-5
377.0,377.0,1.586953E-4
378.0,378.0,6.0281645E-6
379.0,379.0,0.064490005
380.0,380.0,0.047770932
381.0,381.0,5.327307E-4
382.0,382.0,3.765905E-5
383.0,383.0,0.44530633
384.0,384.0,0.016437866
385.0,385.0,0.42081985
386.0,386.0,0.064998575
387.0,387.0,0.4792813
388.0,388.0,0.00419203
389.0,389.0,7.2307594E-6
390.0,390.0,0.013819251
391.0,391.0,0.61146134
392.0,392.0,3.849158E-8
393.0,393.0,0.35918406
394.0,394.0,1.2917372E-5
395.0,395.0,1.3176976E-5
396.0,396.0,0.011398876
397.0,397.0,0.27804816
398.0,398.0,0.3950459
399.0,399.0,0.29309073
400.0,400.0,2.4340503E-9
401.0,401.0,0.073430434
402.0,402.0,8.916341E-6
403.0,403.0,5.6697045E-6
404.0,404.0,0.03755043
405.0,405.0,0.0019580498
406.0,406.0,0.4839787
407.0,407.0,0.5695703
408.0,408.0,8.803456E-8
409.0,409.0,1.0565054E-4
410.0,410.0,2.7431923E-4
411.0,411.0,0.13747928
412.0,412.0,0.007099619
413.0,413.0,0.0010318543
414.0,414.0,5.9483794E-4
415.0,415.0,1.5216839E-5
416.0,416.0,0.033862587
417.0,417.0,2.6558516E-6
418.0,418.0,1.7395568E-7
419.0,419.0,0.7565109
420.0,420.0,0.02728546
421.0,421.0,0.10683436
422.0,422.0,0.5408764
423.0,423.0,0.40427557
424.0,424.0,0.4179099
425.0,425.0,3.3557753E-5
426.0,426.0,0.08313983
427.0,427.0,1.0047273E-5
428.0,428.0,0.23272543
429.0,429.0,0.06860865
430.0,430.0,3.9529255E-5
431.0,431.0,0.0015011092
432.0,432.0,0.4701644
433.0,433.0,0.040497147
434.0,434.0,0.3237139
435.0,435.0,0.13873167
436.0,436.0,1.8266334E-4
437.0,437.0,0.007033255
438.0,438.0,2.2560173E-6
439.0,439.0,0.3021591
440.0,440.0,1.4129166E-6
441.0,441.0,0.23508596
442.0,442.0,0.08102982
443.0,443.0,0.62672096
444.0,444.0,0.5631811
445.0,445.0,0.0054327496
446.0,446.0,0.31011137
447.0,447.0,2.689817E-8
448.0,448.0,0.6294725
449.0,449.0,0.03218715
450.0,450.0,0.45726293
451.0,451.0,0.55523026
452.0,452.0,2.0258447E-6
453.0,453.0,2.7606748E-7
454.0,454.0,2.8694149E-5
455.0,455.0,0.41925654
456.0,456.0,4.6601083E-9
457.0,457.0,3.6615535E-4
458.0,458.0,0.32611763
459.0,459.0,0.009315873
460.0,460.0,0.8824903
461.0,461.0,1.1691117E-5
462.0,462.0,0.11124012
463.0,463.0,1.0868556E-6
464.0,464.0,3.5698735E-4
465.0,465.0,0.071697615
466.0,466.0,5.681369E-7
467.0,467.0,0.3481819
468.0,468.0,0.051552277
469.0,469.0,2.2771042E-6
470.0,470.0,0.013227228
471.0,471.0,9.347119E-7
472.0,472.0,8.2974606E-7
473.0,473.0,7.3308475E-9
474.0,474.0,0.099412456
475.0,475.0,0.39608607
476.0,476.0,0.0018080007
477.0,477.0,2.5246604E-6
478.0,478.0,0.4230072
479.0,479.0,9.568867E-4
480.0,480.0,6.825886E-4
481.0,481.0,7.9432436E-7
482.0,482.0,2.492517E-4
483.0,483.0,0.5490602
484.0,484.0,1.6337782E-4
485.0,485.0,7.568832E-6
486.0,486.0,3.3612192E-5
487.0,487.0,3.2865632E-4
488.0,488.0,0.45295897
489.0,489.0,0.0076633478
490.0,490.0,9.5956906E-4
491.0,491.0,2.3021878E-4
492.0,492.0,3.42869E-6
493.0,493.0,0.040997203
494.0,494.0,3.2569496E-5
495.0,495.0,0.0010768151
496.0,496.0,8.6399174E-4
497.0,497.0,2.8183127E-5
498.0,498.0,0.7777606
499.0,499.0,0.028538525
500.0,500.0,9.258338E-6
501.0,501.0,0.005113113
502.0,502.0,0.016939582
503.0,503.0,1.3664064E-4
504.0,504.0,0.02846674
505.0,505.0,0.13055712
506.0,506.0,2.6020853E-4
507.0,507.0,0.28129667
508.0,508.0,0.059544217
509.0,509.0,2.2412653E-6
510.0,510.0,4.544277E-5
511.0,511.0,0.41058734
512.0,512.0,0.053650502
513.0,513.0,1.7555822E-4
514.0,514.0,8.3734986E-4
515.0,515.0,8.186415E-7
516.0,516.0,2.0180005E-4
517.0,517.0,0.045032676
518.0,518.0,0.010262152
519.0,519.0,0.16819929
520.0,520.0,5.335165E-4
521.0,521.0,0.11591934
522.0,522.0,1.0588244E-6
523.0,523.0,0.06304054
524.0,524.0,9.204154E-7
525.0,525.0,0.08367707
526.0,526.0,0.32748395
527.0,527.0,0.21117781
528.0,528.0,8.42568E-5
529.0,529.0,7.446367E-8
530.0,530.0,3.5323894E-5
531.0,531.0,5.373226E-8
532.0,532.0,0.39183086
533.0,533.0,1.2883614E-4
534.0,534.0,6.4283876E-7
535.0,535.0,0.30612755
536.0,536.0,0.0019462392
537.0,537.0,0.6889821
538.0,538.0,0.5267602
539.0,539.0,3.3540238E-4
540.0,540.0,2.877056E-7
541.0,541.0,0.06386246
542.0,542.0,0.5502351
543.0,543.0,0.42690626
544.0,544.0,0.08548983
545.0,545.0,0.0035055974
546.0,546.0,0.46927235
547.0,547.0,0.12632427
548.0,548.0,0.032610178
549.0,549.0,8.599652E-8
550.0,550.0,0.49338612
551.0,551.0,0.032397587
552.0,552.0,3.86053E-6
553.0,553.0,9.541986E-8
554.0,554.0,0.043025993
555.0,555.0,7.840274E-8
556.0,556.0,0.0022299886
557.0,557.0,3.3056156E-6
558.0,558.0,0.4748535
559.0,559.0,1.5915936E-4
560.0,560.0,9.801195E-7
561.0,561.0,0.2688826
562.0,562.0,0.059851546
563.0,563.0,6.2165764E-4
564.0,564.0,1.2769292E-6
565.0,565.0,0.0064679193
566.0,566.0,1.1063459E-4
567.0,567.0,0.4255064
568.0,568.0,0.029284663
