X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
42.0,42.0,train,4.192545911435531E-4,57.440792746877,0.66251875601355
43.0,43.0,train,1.0880272469035808E-4,9.769871111066957,0.24564833624497573
44.0,44.0,train,0.001985716231607135,94.18195886665262,0.9941702762528278
45.0,45.0,train,5.536329865712424E-4,67.40207056915344,0.7617431265376651
46.0,46.0,train,2.498545395913043E-4,28.32344571846612,0.47656755727719
47.0,47.0,train,5.08928617628555E-4,64.50214429276923,0.7324854935417584
48.0,48.0,train,3.2717418569364634E-4,44.274426249474246,0.5715899680573495
49.0,49.0,train,3.592629987132525E-4,50.0947464821366,0.6057670590652664
50.0,50.0,train,0.0016064303248374931,91.60223575966725,0.9844251065273375
51.0,51.0,train,2.2414955296697805E-4,23.985466167631436,0.4405204714873372
52.0,52.0,train,7.638971434915801E-4,77.46120568098198,0.8618173061440797
53.0,53.0,train,0.007102222465275471,98.91209963712234,0.9999999898025165
54.0,54.0,train,0.001715965979153518,92.28286890958724,0.9882733426295137
55.0,55.0,train,0.0018222600176507667,92.64299071535805,0.9910962923259945
56.0,56.0,train,7.751116348491512E-4,77.97326135319217,0.8657745177297183
57.0,57.0,train,5.036021645124759E-4,64.05971786912816,0.7287681244142036
58.0,58.0,train,4.4945657057055596E-4,59.939137905323875,0.6879199497969108
60.0,60.0,train,4.935443607909255E-4,63.18291460194039,0.721607269852576
61.0,61.0,train,6.105920447262783E-4,70.43534710404867,0.7944325189120893
62.0,62.0,train,4.407058604502776E-4,58.996301364695995,0.6807635942471635
63.0,63.0,train,9.22327806429796E-4,81.29309346723764,0.9083387979032478
64.0,64.0,train,0.001998204450407966,94.38200506860257,0.9943558820648026
65.0,65.0,train,4.0072036977508195E-4,55.369056056685615,0.645917410823283
66.0,66.0,train,0.001233109119405956,86.5204712735452,0.95902767206675
67.0,67.0,train,4.227011658266052E-4,57.71593966611048,0.665518953304441
68.0,68.0,train,0.0014798312181816542,90.3605502534354,0.9783789919968875
70.0,70.0,train,6.303279555987974E-4,71.52929662708878,0.8046797247381278
71.0,71.0,train,0.0013006213003349564,87.96419402030986,0.9656026398198726
72.0,72.0,train,0.0012674148819622714,87.09920978942942,0.962512249629912
75.0,75.0,train,0.0019467882319308262,93.59096593886709,0.9935516257738284
76.0,76.0,train,3.9881598355623126E-4,55.18050252934207,0.6441660260775675
77.0,77.0,train,0.0022099357607768136,95.84051935475735,0.9967389801866956
78.0,78.0,train,3.901328112051116E-4,54.100118602938004,0.6360700298545754
79.0,79.0,train,9.423630799808517E-4,81.71629390850873,0.912975484242681
80.0,80.0,train,1.6150881329884953E-4,14.916848476235966,0.34193571447841964
82.0,82.0,train,1.8528075681848352E-4,18.08538967105605,0.38124340370586696
83.0,83.0,train,2.2148073275071297E-4,23.544283669849385,0.4366384674811705
86.0,86.0,train,9.94980969728075E-5,8.814790934635196,0.22724195932341562
90.0,90.0,train,2.0382029219144079E-4,20.667174949235044,0.4102622460954479
91.0,91.0,train,1.6328465532167196E-4,15.1706238743831,0.34495652881903915
93.0,93.0,train,4.3952703644929166E-4,58.891514907678555,0.6797870883620265
94.0,94.0,train,0.0013618489699121553,88.85558810861441,0.970648452975261
2.0,2.0,test,8.956542751639087E-5,7.9448567006420845,0.20709730680254412
13.0,13.0,test,8.345307201495194E-4,79.65201196629054,0.8849263479123709
21.0,21.0,test,6.095421876470265E-4,70.27216035131194,0.7938725995498456
25.0,25.0,test,3.321825705190619E-4,44.9636470561608,0.5771131928977894
28.0,28.0,test,3.417710438297548E-4,46.820759841743055,0.5874894407141311
29.0,29.0,test,0.001910324606922221,93.31485691243095,0.9929127207131364
32.0,32.0,test,1.8862614674722495E-4,18.520603464145978,0.38658333796411304
38.0,38.0,test,3.939381665436706E-4,54.5866134748741,0.6396404882939835
59.0,59.0,test,0.0013073915408668324,88.11950834761159,0.966200742711965
69.0,69.0,test,2.7800015763060825E-4,33.67550724843491,0.5133790012822632
73.0,73.0,test,2.0304150252505932E-4,20.57941894042515,0.40907109340013126
74.0,74.0,test,6.650453824016616E-4,73.28519774722659,0.8214816528005102
81.0,81.0,test,2.1831986970793728E-4,23.00631223606497,0.4320058920153713
84.0,84.0,test,2.494149888455759E-4,28.234552841219564,0.47597111684499227
85.0,85.0,test,1.8638453658444677E-4,18.217183449486004,0.3830103832657822
87.0,87.0,test,1.8223633771422836E-4,17.60504403944087,0.376343491309714
88.0,88.0,test,7.735656559876189E-5,6.882970670961667,0.1816153918868766
89.0,89.0,test,3.5477733554254397E-4,49.194898007324994,0.6011585995656912
92.0,92.0,test,4.175362221410023E-4,57.294157220757135,0.6610129005280444
